deflag,g1_15_AQ,g1_25_AQ,g2_38_CL,g2_37_CL,g4_61_LF,g4_68_LF,g5_86_PE,g5_99_PE
0,1.148180825,0.473717912,9.841188075,-0.018700025,0.770629665,0.340489483,1.009165926,-0.027084986
0,1.346273893,0.723320965,13.55914885,0.057683048,0.673393393,-0.015224679,0.98800183,-0.032633444
0,NA,NA,NA,0.095697366,NA,-0.150127609,1.016688213,0.003986701
0,NA,NA,NA,0.055204438,NA,0.135036607,NA,0.212372259
0,NA,NA,NA,0.050462109,NA,0.096271036,0.987338412,-0.064325175
0,6.406372717,-0.036538412,13.84237908,0.098431562,1.297029554,-0.038992596,1.022771779,0.049577553
0,NA,NA,NA,0.129684265,0.572158808,NA,NA,-0.020068456
0,NA,NA,NA,NA,1.005955706,0.671844504,NA,0.0506138
0,1.534513995,NA,14.5427731,0.08758018,0.542312858,NA,NA,0.036982576
0,NA,NA,NA,0.067650783,NA,0.451375604,1.006557659,0.009369873
0,0.342531104,0.175658271,2.58687061,0.041096361,1.131715136,0.154964746,0.997134698,-0.004008416
0,0.917555233,NA,NA,0.064419759,1.02067425,NA,NA,0.044020792
0,NA,NA,27.9615093,NA,0.630199751,NA,NA,0.025395229
0,NA,NA,NA,NA,NA,NA,NA,NA
0,0.719959777,0.506894198,NA,NA,1.010972334,-0.128842335,1.064471686,0.126459749
0,0.703247706,0.567509339,NA,NA,0.938876242,0.058983851,1.015366707,-0.020277859
0,NA,NA,19.88594343,NA,0.582911468,NA,NA,0.088185124
0,-0.857643762,0.888642727,8.971591756,0.016431118,1.770927056,0.664818589,0.980279504,0.048083707
0,0.379978542,0.40857762,9.963925848,-0.027749119,1.130989784,0.472210048,1.012545288,0.086057987
0,NA,NA,13.20997724,NA,0.772475223,NA,NA,0.017691761
0,3.353426035,0.231818765,12.92061515,0.037701681,0.689472657,0.076501691,1.038828032,0.691026997
0,NA,NA,16.003457,NA,0.61050463,NA,NA,0.07721948
0,4.080342883,-0.165540513,20.68660982,0.067322565,0.761189711,0.389662035,1.038315307,0.118856545
0,4.2168655,0.046914217,24.03295725,0.177726006,0.792355457,0.38585185,1.029980228,0.115678485
0,4.088973034,0.091932249,2.049039533,0.054537685,0.649866296,0.076380065,1.028658372,0.036507755
0,NA,NA,10.13946058,NA,1.328312057,NA,NA,0.07236619
0,1.315585563,0.24266116,NA,NA,NA,0.381572136,1.042076945,NA
0,-1.53984456,0.276252201,8.169942336,0.089585233,0.53244593,0.113329345,0.998944012,0.010327164
0,6.328111309,NA,14.43997303,0.113548834,NA,NA,NA,NA
0,1.756892908,0.045596182,12.2516349,0.083305046,1.021368974,-0.132024218,1.013334877,0.039513007
0,1.083986775,1.012094469,1.417535556,0.013666965,0.024379977,0.409906008,1.017322974,0.034786552
0,NA,0.119535975,4.331819307,NA,0.81920694,NA,NA,NA
0,NA,NA,4.82828178,0.070555818,NA,NA,0.996450474,-0.008582858
0,NA,NA,NA,NA,NA,NA,NA,NA
0,1.53026892,NA,15.95955027,0.091893685,0.439722839,NA,NA,-0.040540343
0,4.809368614,-0.101647941,25.19503616,0.099521672,0.562688715,0.196269502,1.01309845,0.166487144
